T M E Susceptibility Cv
2.00000 0.911405 -1.74563 0.378386 0.721071
2.00500 0.909707 -1.74195 0.394470 0.730882
2.01000 0.907885 -1.73819 0.413518 0.738736
2.01500 0.906282 -1.73459 0.427602 0.749719
2.02000 0.904351 -1.73060 0.451994 0.762761
2.02500 0.902592 -1.72685 0.466500 0.770577
2.03000 0.900709 -1.72291 0.484778 0.782048
2.03500 0.898891 -1.71907 0.499456 0.789808
2.04000 0.896839 -1.71499 0.528730 0.804782
2.04500 0.894783 -1.71087 0.562040 0.817582
2.05000 0.892836 -1.70687 0.571400 0.826880
2.05500 0.890565 -1.70255 0.613698 0.840680
2.06000 0.888496 -1.69839 0.631646 0.851451
2.06500 0.886174 -1.69405 0.669857 0.861377
2.07000 0.883931 -1.68961 0.694883 0.876844
2.07500 0.881632 -1.68527 0.724837 0.886489
2.08000 0.879112 -1.68072 0.782127 0.901753
2.08500 0.876784 -1.67626 0.804434 0.915808
2.09000 0.874347 -1.67181 0.846945 0.933049
2.09500 0.871453 -1.66687 0.913396 0.942918
2.10000 0.868975 -1.66231 0.935371 0.959129
2.10500 0.866023 -1.65732 0.989967 0.978529
2.11000 0.862997 -1.65231 1.08773 0.995791
2.11500 0.860013 -1.64723 1.12679 1.00520
2.12000 0.856883 -1.64224 1.24308 1.03190
2.12500 0.853619 -1.63691 1.29271 1.04168
2.13000 0.850657 -1.63196 1.33907 1.06021
2.13500 0.847164 -1.62659 1.42239 1.07632
2.14000 0.843003 -1.62084 1.70603 1.10656
2.14500 0.839416 -1.61553 1.86839 1.12488
2.15000 0.835587 -1.60963 1.83589 1.14771
2.15500 0.831532 -1.60388 1.96367 1.16687
2.16000 0.827786 -1.59857 2.14701 1.18346
2.16500 0.823073 -1.59209 2.29891 1.21503
2.17000 0.818155 -1.58608 2.64959 1.24002
2.17500 0.812784 -1.57939 2.88510 1.26282
2.18000 0.808444 -1.57342 2.97068 1.28393
2.18500 0.802820 -1.56683 3.44566 1.31998
2.19000 0.795947 -1.55992 4.27675 1.36958
2.19500 0.791074 -1.55351 4.31657 1.37648
2.20000 0.785588 -1.54682 4.53050 1.41117
2.20500 0.778470 -1.53933 5.05188 1.43788
2.21000 0.771432 -1.53225 5.75051 1.47921
2.21500 0.762667 -1.52450 6.87918 1.53615
2.22000 0.753134 -1.51645 9.08677 1.57749
2.22500 0.744168 -1.50870 10.3261 1.64422
2.23000 0.732537 -1.50021 14.5507 1.71589
2.23500 0.721047 -1.49147 15.8037 1.77325
2.24000 0.706364 -1.48305 24.9081 1.88484
2.24500 0.684051 -1.47187 35.2685 2.00969
2.25000 0.675120 -1.46368 33.4872 2.02031
2.25500 0.658057 -1.45364 36.2191 2.07620
2.26000 0.635776 -1.44294 45.1243 2.17917
2.26500 0.622907 -1.43413 47.0050 2.18770
2.27000 0.583126 -1.42101 68.8245 2.28084
2.27500 0.535748 -1.40679 88.4109 2.35304
2.28000 0.531908 -1.39905 81.0108 2.32140
2.28500 0.470727 -1.38352 103.965 2.40159
2.29000 0.452922 -1.37412 101.004 2.29818
2.29500 0.410096 -1.36144 105.695 2.24397
2.30000 0.386880 -1.35197 101.519 2.16378
2.30500 0.343499 -1.33961 99.6966 2.06144
2.31000 0.336914 -1.33252 94.1941 1.95328
2.31500 0.312998 -1.32248 89.0636 1.91607
2.32000 0.289205 -1.31350 83.3508 1.82010
2.32500 0.261210 -1.30408 73.6041 1.68301
2.33000 0.247133 -1.29645 69.2793 1.64642
2.33500 0.229357 -1.28834 64.7804 1.58278
2.34000 0.213920 -1.28061 55.9033 1.50810
2.34500 0.202264 -1.27348 52.5825 1.46758
2.35000 0.197809 -1.26706 51.5953 1.45300
2.35500 0.184714 -1.25939 46.9406 1.41267
2.36000 0.176872 -1.25289 42.8990 1.36626
2.36500 0.165606 -1.24624 37.5551 1.31808
2.37000 0.160982 -1.24029 37.4165 1.31699
2.37500 0.151230 -1.23351 33.3871 1.26852
2.38000 0.146860 -1.22757 30.6326 1.24582
2.38500 0.140646 -1.22164 29.8450 1.23402
2.39000 0.134448 -1.21571 26.8220 1.20772
2.39500 0.133740 -1.21000 26.6991 1.18727
2.40000 0.126686 -1.20419 24.3889 1.16618
2.40500 0.122387 -1.19856 22.1790 1.14097
2.41000 0.119660 -1.19311 21.4480 1.12767
2.41500 0.116471 -1.18799 19.7543 1.10437
2.42000 0.113317 -1.18260 19.2519 1.09415
2.42500 0.110514 -1.17749 18.1154 1.08465
2.43000 0.105811 -1.17178 17.1675 1.06624
2.43500 0.103943 -1.16685 16.0945 1.04410
2.44000 0.102261 -1.16189 15.6215 1.03462
2.44500 0.0994494 -1.15694 14.9284 1.02291
2.45000 0.0994904 -1.15201 14.8872 1.01018
2.45500 0.0954729 -1.14714 13.8748 0.993842
2.46000 0.0930422 -1.14246 13.1939 0.985223
2.46500 0.0925790 -1.13777 12.8491 0.968696
2.47000 0.0888946 -1.13282 12.0612 0.957903
2.47500 0.0878650 -1.12820 11.7803 0.945083
2.48000 0.0857576 -1.12397 11.2648 0.939695
2.48500 0.0845931 -1.11945 10.9083 0.925656
2.49000 0.0832820 -1.11507 10.5946 0.914589
2.49500 0.0813637 -1.11035 10.0383 0.901536
2.50000 0.0802914 -1.10631 9.73204 0.897387
