T M E Susceptibility Cv
2.00000 0.894866 -1.73957 -42.4563 1.30103
2.00500 0.881526 -1.73323 -32.0276 1.44396
2.01000 0.878874 -1.72956 -46.2018 1.40464
2.01500 0.891170 -1.72958 0.406299 1.24711
2.02000 0.869348 -1.72023 0.147858 1.54892
2.02500 0.861585 -1.71518 -149.333 1.60659
2.03000 0.885218 -1.71749 -347.563 1.29928
2.03500 0.854484 -1.70611 -28.3701 1.67056
2.04000 0.870767 -1.70679 -328.433 1.47745
2.04500 0.868964 -1.70241 -35.5088 1.42452
2.05000 0.864948 -1.69728 0.383729 1.54630
2.05500 0.866615 -1.69585 -32.1076 1.41843
2.06000 0.862262 -1.69050 -40.0908 1.48924
2.06500 0.868846 -1.68811 -33.0564 1.37582
2.07000 0.870846 -1.68485 0.409733 1.31563
2.07500 0.858915 -1.67758 -32.5544 1.47838
2.08000 0.863240 -1.67364 -35.5999 1.39690
2.08500 0.858071 -1.66996 0.388166 1.41083
2.09000 0.847885 -1.66381 -32.0880 1.52623
2.09500 0.854381 -1.66038 0.393336 1.45083
2.10000 0.854819 -1.65713 -36.1337 1.38680
2.10500 0.853150 -1.65288 0.402334 1.39915
2.11000 0.850884 -1.64730 0.394488 1.36523
2.11500 0.834474 -1.64000 -143.195 1.54562
2.12000 0.828636 -1.63408 -30.8266 1.52811
2.12500 0.838385 -1.63212 -32.1867 1.42649
2.13000 0.825312 -1.62374 -131.105 1.60211
2.13500 0.829406 -1.62086 -31.1359 1.49132
2.14000 0.828950 -1.61628 -31.9678 1.47858
2.14500 0.819691 -1.60871 0.330117 1.52151
2.15000 0.821861 -1.60469 0.382035 1.50109
2.15500 0.811158 -1.59692 -127.006 1.57922
2.16000 0.813066 -1.59257 -119.271 1.53908
2.16500 0.808707 -1.58769 -119.218 1.53879
2.17000 0.803126 -1.58119 -27.1703 1.60618
2.17500 0.796236 -1.57479 0.361446 1.63931
2.18000 0.791324 -1.56638 -28.6229 1.58879
2.18500 0.784970 -1.55997 -12.1318 1.66464
2.19000 0.783399 -1.55521 0.357138 1.62213
2.19500 0.770394 -1.54779 -27.7754 1.76417
2.20000 0.762262 -1.53764 -27.5660 1.73145
2.20500 0.768280 -1.53599 0.327486 1.67671
2.21000 0.762377 -1.52975 -25.7223 1.71506
2.21500 0.739064 -1.51598 -41.9503 1.85261
2.22000 0.732122 -1.51028 0.329366 1.93394
2.22500 0.737061 -1.50565 -13.0883 1.86429
2.23000 0.719151 -1.49457 -14.8770 1.90192
2.23500 0.705379 -1.48570 -5.56739 1.93850
2.24000 0.694380 -1.47591 -43.2643 1.94743
2.24500 0.693189 -1.47171 -20.5963 1.94789
2.25000 0.674789 -1.46116 -27.7085 2.04953
2.25500 0.662330 -1.45186 -2.30196 2.06684
2.26000 0.651666 -1.44529 -8.55106 2.07942
2.26500 0.657000 -1.44073 -29.3375 1.99048
2.27000 0.603339 -1.42049 -52.7494 2.15856
2.27500 0.612679 -1.41758 -60.0362 2.15224
2.28000 0.597352 -1.40667 -4.97177 2.08680
2.28500 0.590133 -1.39871 -19.2897 1.99686
2.29000 0.557383 -1.38736 -3.64714 2.08933
2.29500 0.541179 -1.37531 -0.0718346 1.97219
2.30000 0.528805 -1.36608 -36.0662 2.06254
